abstractfactory/03_Abstract_Factoryy.py,ΠΣΠΠΣDΠΓDDΓGDΓGDΓCDΓEDΓFDΓFDΓBDΓA,abstractfactory
abstractfactory/2_AbstractFactoryPattern.py,ΠΣΠΠΤϴΠΤϴΠΤϴΠΤϴΠΤϴΠΤϴΠΓDΠΓEΠΓGΠΓAΠΓFΠΓC,abstractfactory
abstractfactory/3_abstract_factoryy.py,ΠΣΠΠΣAΠΓAΠΓCAΓAAΓAAΓB,abstractfactory
abstractfactory/abstract-factory.py,ΠΣΠΠΤϴΠΤϴEΓCEΓCEΓGEΓGEΓAEΓAEΓBEΓBGΓFBΓD,abstractfactory
abstractfactory/AbstractFactory.py,ΠΣΠΠΤϴEΣBEΓBCΛΨBΣCGΛΨBΣGBΓCBΓABΓCBΓFBΓGBΓDBΓGBΓHAΛΨCΣAFΛΨCΣFDΛΨGΣDHΛΨGΣH,abstractfactory
abstractfactory/AbstractFactoryClient.py,ΠΣΠΠΤϴΠΤϴCΓGCΓGCΓECΓECΓACΓACΓBCΓBEΓDBΓF,abstractfactory
abstractfactory/abstractfactorypattern.py,ΠΣΠΠΓCΠΓBΠΓA,abstractfactory
abstractfactory/AbstractFactory_(4).py,ΠΣΠΠΤϴΠΤϴFΓDFΓDFΓCFΓCFΓEFΓEFΓBFΓBCΓGBΓA,abstractfactory
abstractfactory/AbstractFactory_1.py,ΠΣΠΠΤϴΠΤϴCΓECΓECΓFCΓFCΓDCΓDCΓBCΓBFΓABΓG,abstractfactory
abstractfactory/abstractfactory_2.py,ΠΣΠΠΤϴΠΓBΠΓBBΩΔAΣB,abstractfactory
abstractfactory/abstract_factory.py,ΠΣΠDΛΨΠΣDDΛΨΠΣDAΛΨΠΣAAΛΨΠΣAΠΓDΠΓDΠΓEΠΓEΠΓDΠΓDΠΓCΠΓCΠΓAΠΓAΠΓFΠΓFΠΓAΠΓAΠΓBΠΓBEΛΨDΣEEΛΨDΣECΛΨDΣCCΛΨDΣCFΛΨAΣFFΛΨAΣFBΛΨAΣBBΛΨAΣB,abstractfactory
abstractfactory/abstract_factory_(10).py,ΠΣΠΠΣCΠΣCΠΓCΠΓCΠΓCΠΓCCΓBCΓBCΓBCΓBCΓBCΓBCΓACΓA,abstractfactory
